id,date,country_name,state/province,population,landslide_type,trigger,fatalities,month
555,2008-05-28,United States,Colorado,6658,Mudslide,Rain,0.0,5.0
556,2008-05-29,Costa Rica,Guanacaste,4108,Landslide,Tropical cyclone,0.0,5.0
562,2008-05-31,Colombia,Antioquia,1999979,Complex,Downpour,27.0,5.0
563,2008-06-01,Guatemala,Escuintla,31329,Mudslide,Tropical cyclone,1.0,6.0
564,2008-06-02,El Salvador,La Libertad,124694,Landslide,Tropical cyclone,0.0,6.0
577,2008-06-07,United States,Indiana,11828,Mudslide,Downpour,0.0,6.0
590,2008-06-16,United States,New York,1031,Mudslide,Rain,0.0,6.0
591,2008-06-18,Guatemala,Guatemala,994938,Complex,Rain,8.0,6.0
597,2008-06-20,United States,Arkansas,466,Mudslide,Rain,0.0,6.0
605,2008-06-24,Colombia,Norte de Santander,1502,Landslide,Downpour,10.0,6.0
617,2008-06-29,United States,New Jersey,34457,Mudslide,Rain,0.0,6.0
629,2008-07-05,United States,New Mexico,13753,Debris flow,Downpour,0.0,7.0
633,2008-07-09,United States,West Virginia,3191,Landslide,Downpour,0.0,7.0
634,2008-07-09,United States,West Virginia,51400,Mudslide,Downpour,0.0,7.0
635,2008-07-09,United States,Iowa,1919,Landslide,Downpour,0.0,7.0
643,2008-07-13,United States,Colorado,16887,Mudslide,Downpour,0.0,7.0
644,2008-07-14,Colombia,Cundinamarca,1374,Landslide,Downpour,4.0,7.0
649,2008-07-16,United States,Wisconsin,1887,Mudslide,Flooding,0.0,7.0
650,2008-07-17,Colombia,Antioquia,2214,Landslide,Rain,8.0,7.0
656,2008-07-21,Guatemala,Zacapa,3682,Mudslide,Tropical cyclone,21.0,7.0
658,2008-07-22,United States,Colorado,2826,Mudslide,Downpour,0.0,7.0
659,2008-07-22,United States,Idaho,2991,Mudslide,Downpour,0.0,7.0
660,2008-07-22,United States,Idaho,3112,Mudslide,Downpour,0.0,7.0
675,2008-07-28,United States,Colorado,3068,Mudslide,Downpour,0.0,7.0
686,2008-08-04,United States,New Mexico,1788,Mudslide,Rain,0.0,8.0
690,2008-08-06,United States,Colorado,3068,Mudslide,Rain,0.0,8.0
691,2008-08-06,United States,New Hampshire,1126,Mudslide,Rain,0.0,8.0
693,2008-08-07,United States,California,20292,Complex,Downpour,0.0,8.0
694,2008-08-07,United States,Colorado,6427,Mudslide,Rain,0.0,8.0
695,2008-08-07,United States,Utah,7979,Mudslide,Downpour,0.0,8.0
698,2008-08-08,United States,Utah,1270,Landslide,Rain,0.0,8.0
724,2008-08-17,Dominican Republic,Hato Mayor,13977,Complex,Tropical cyclone,0.0,8.0
728,2008-08-18,Colombia,Antioquia,65565,Landslide,Rain,0.0,8.0
729,2008-08-18,Colombia,Córdoba,55513,Landslide,Rain,0.0,8.0
742,2008-08-23,United States,Colorado,5236,Mudslide,Rain,0.0,8.0
743,2008-08-24,United States,Colorado,1646,Mudslide,Rain,0.0,8.0
744,2008-08-25,Mexico,México,7182,Mudslide,Downpour,1.0,8.0
746,2008-08-26,Dominican Republic,Distrito Nacional,10457,Mudslide,Tropical cyclone,8.0,8.0
747,2008-08-26,Haiti,Sud-Est,137966,Landslide,Tropical cyclone,25.0,8.0
748,2008-08-26,Haiti,Ouest,1234742,Mudslide,Tropical cyclone,3.0,8.0
750,2008-08-26,Panama,Panamá,1287,Landslide,Downpour,0.0,8.0
751,2008-08-26,United States,North Carolina,1192,Mudslide,Rain,0.0,8.0
756,2008-08-28,Jamaica,Saint Andrew,1821,Landslide,Tropical cyclone,7.0,8.0
757,2008-08-28,United States,North Carolina,1192,Mudslide,Tropical cyclone,0.0,8.0
771,2008-09-03,Haiti,Artibonite,84961,Mudslide,Tropical cyclone,26.0,9.0
774,2008-09-04,Jamaica,Saint Thomas,2382,Complex,Tropical cyclone,0.0,9.0
776,2008-09-06,Costa Rica,San José,10028,Mudslide,Downpour,0.0,9.0
779,2008-09-06,United States,Massachusetts,39880,Mudslide,Tropical cyclone,0.0,9.0
780,2008-09-07,Trinidad and Tobago,Diego Martin,8140,Landslide,Downpour,0.0,9.0
800,2008-09-20,United States,Idaho,1406,Mudslide,Downpour,0.0,9.0
826,2008-10-03,Nicaragua,Masaya,5182,Landslide,Downpour,9.0,10.0
837,2008-10-12,Colombia,Córdoba,5385,Landslide,Downpour,0.0,10.0
838,2008-10-12,Costa Rica,San José,34877,Landslide,Downpour,0.0,10.0
839,2008-10-12,Costa Rica,San José,8292,Landslide,Downpour,0.0,10.0
841,2008-10-12,Saint Lucia,Vieux-Fort,4574,Landslide,Downpour,0.0,10.0
845,2008-10-15,Costa Rica,Puntarenas,6777,Landslide,Downpour,0.0,10.0
848,2008-10-16,Costa Rica,Puntarenas,6540,Complex,Downpour,0.0,10.0
852,2008-10-18,Guatemala,Chimaltenango,5987,Landslide,Tropical cyclone,0.0,10.0
854,2008-10-19,Honduras,Copán,4752,Landslide,Tropical cyclone,23.0,10.0
855,2008-10-20,Honduras,Francisco Morazán ,850848,Mudslide,Tropical cyclone,29.0,10.0
857,2008-10-22,Barbados,Saint Joseph,1765,Mudslide,Downpour,0.0,10.0
867,2008-10-28,Guatemala,Huehuetenango,1311,Mudslide,Downpour,0.0,10.0
889,2008-11-16,Colombia,Antioquia,1999979,Mudslide,Downpour,8.0,11.0
891,2008-11-16,Trinidad and Tobago,City of Port of Spain,49031,Complex,Downpour,1.0,11.0
896,2008-11-20,Venezuela,Distrito Federal,3000000,Mudslide,Downpour,8.0,11.0
904,2008-11-24,Colombia,Cauca,13223,Mudslide,Downpour,10.0,11.0
905,2008-11-25,Panama,Chiriquí,6123,Complex,Downpour,8.0,11.0
908,2008-11-26,United States,California,9277,Debris flow,Rain,0.0,11.0
928,2008-12-14,Guatemala,Izabal,18994,Mudslide,Rain,2.0,12.0
937,2008-12-17,United States,California,3148,Mudslide,Rain,0.0,12.0
938,2008-12-18,Trinidad and Tobago,Diego Martin,8140,Mudslide,Downpour,0.0,12.0
939,2008-12-19,Trinidad and Tobago,Diego Martin,8140,Complex,Downpour,0.0,12.0
941,2008-12-20,Trinidad and Tobago,Penal/Debe,12281,Mudslide,Downpour,0.0,12.0
946,2008-12-22,United States,California,3841,Complex,Downpour,0.0,12.0
947,2008-12-22,United States,Tennessee,5934,Lahar,Dam embankment collapse,0.0,12.0
958,2009-01-07,United States,North Carolina,1150,Landslide,Rain,0.0,1.0
975,2009-01-22,Mexico,The Federal District,12294193,Landslide,Downpour,2.0,1.0
984,2009-02-12,Dominican Republic,Santiago,1457,Mudslide,Downpour,0.0,2.0
995,2009-03-10,United States,Pennsylvania,5951,Mudslide,Rain,0.0,3.0
996,2009-03-19,Colombia,Huila,4444,Mudslide,Continuous rain,5.0,3.0
1000,2009-04-08,United States,Tennessee,2845,Rockfall,Rain,0.0,4.0
1001,2009-04-11,United States,Utah,112488,Rockfall,Downpour,0.0,4.0
1003,2009-04-13,United States,Virginia,1463,Mudslide,Downpour,0.0,4.0
1004,2009-04-14,Peru,La Libertad,0,Mudslide,Downpour,12.0,4.0
1005,2009-04-14,Peru,La Libertad,0,Mudslide,Downpour,0.0,4.0
1006,2009-04-14,United States,Utah,33433,Rockfall,Rain,0.0,4.0
1007,2009-04-15,United States,Utah,20816,Rockfall,Rain,0.0,4.0
1008,2009-04-15,United States,Utah,10062,Rockfall,Rain,0.0,4.0
1010,2009-04-20,United States,Virginia,1463,Mudslide,Downpour,0.0,4.0
1011,2009-04-20,United States,Colorado,97385,Mudslide,Rain,0.0,4.0
1014,2009-04-24,Colombia,Córdoba,59188,Mudslide,Downpour,1.0,4.0
1017,2009-05-04,United States,Missouri,17916,Landslide,Continuous rain,0.0,5.0
1019,2009-05-06,Brazil,Pará,70888,Mudslide,Rain,19.0,5.0
1020,2009-05-06,Brazil,Maranhão,48901,Mudslide,Rain,3.0,5.0
1022,2009-05-08,United States,Kentucky,777,Landslide,Downpour,0.0,5.0
1023,2009-05-08,United States,Kentucky,2231,Landslide,Downpour,0.0,5.0
1024,2009-05-11,United States,Kentucky,6903,Landslide,Downpour,0.0,5.0
1026,2009-05-17,United States,North Carolina,18228,Mudslide,Downpour,1.0,5.0
1033,2009-05-30,United States,West Virginia,1142,Mudslide,Unknown,0.0,5.0
1038,2009-06-18,United States,Utah,42274,Landslide,Downpour,0.0,6.0
1039,2009-06-19,United States,North Carolina,3776,Rockfall,Downpour,0.0,6.0
1040,2009-06-21,United States,Idaho,2689,Mudslide,Downpour,0.0,6.0
1069,2009-07-31,United States,Kentucky,5338,Mudslide,Rain,0.0,7.0
1105,2009-08-19,United States,Kentucky,31577,Landslide,Unknown,0.0,8.0
1116,2009-08-20,United States,Wisconsin,5911,Landslide,Rain,0.0,8.0
1117,2009-08-21,Trinidad and Tobago,City of San Fernando,26700,Landslide,Downpour,0.0,8.0
1131,2009-09-01,Mexico,Baja California Sur,48518,Mudslide,Tropical cyclone,0.0,9.0
1140,2009-09-07,Haiti,Artibonite,66226,Mudslide,Downpour,1.0,9.0
1155,2009-09-11,United States,Texas,4529,Mudslide,Downpour,0.0,9.0
1167,2009-09-15,Mexico,The Federal District,228927,Mudslide,Downpour,3.0,9.0
1177,2009-09-20,Dominican Republic,Puerto Plata,4563,Landslide,Downpour,2.0,9.0
1178,2009-09-20,Dominican Republic,Santiago,23304,Landslide,Downpour,0.0,9.0
1180,2009-09-20,United States,Georgia,3410,Mudslide,Downpour,0.0,9.0
1182,2009-09-21,United States,Alabama,3485,Mudslide,Downpour,0.0,9.0
1183,2009-09-21,United States,Georgia,5802,Mudslide,Downpour,0.0,9.0
1184,2009-09-21,United States,Georgia,1602,Mudslide,Rain,0.0,9.0
1185,2009-09-21,United States,North Carolina,7609,Landslide,Downpour,0.0,9.0
1186,2009-12-28,Ecuador,Santo Domingo de los Tsáchilas,200421,Mudslide,Downpour,3.0,12.0
1194,2009-09-26,United States,Georgia,2301,Mudslide,Downpour,0.0,9.0
1195,2009-09-26,United States,Tennessee,3944,Mudslide,Downpour,0.0,9.0
1256,2009-10-12,United States,Texas,45028,Landslide,Rain,0.0,10.0
1265,2009-10-17,United States,Kentucky,365,Rockfall,Downpour,0.0,10.0
1266,2009-10-20,Haiti,Ouest,442156,Landslide,Downpour,4.0,10.0
1285,2009-11-08,El Salvador,San Vicente,41504,Complex,Tropical cyclone,23.0,11.0
1286,2009-11-08,El Salvador,La Libertad,33767,Mudslide,Tropical cyclone,4.0,11.0
1287,2009-11-08,El Salvador,San Vicente,41504,Rockfall,Tropical cyclone,0.0,11.0
1288,2009-11-08,El Salvador,San Vicente,41504,Mudslide,Tropical cyclone,0.0,11.0
1294,2009-11-11,United States,Tennessee,20979,Mudslide,Rain,0.0,11.0
1296,2009-11-13,Costa Rica,Puntarenas,3981,Landslide,Earthquake,1.0,11.0
1307,2009-11-17,United States,Illinois,27865,Mudslide,Downpour,0.0,11.0
1353,2009-12-09,United States,Tennessee,167674,Mudslide,Downpour,0.0,12.0
1354,2009-12-09,United States,Tennessee,7554,Mudslide,Downpour,0.0,12.0
1355,2009-12-09,United States,Tennessee,7554,Mudslide,Downpour,0.0,12.0
1357,2009-12-12,United States,Missouri,3364,Landslide,Rain,0.0,12.0
1358,2009-12-13,United States,California,4862,Complex,Downpour,0.0,12.0
1367,2009-12-18,United States,Mississippi,2175,Mudslide,Downpour,0.0,12.0
1391,2010-01-10,Jamaica,Portland,1119,Landslide,Downpour,0.0,1.0
1393,2010-01-10,Ecuador,Pichincha,25742,Mudslide,Rain,3.0,1.0
1431,2010-01-21,United States,California,9277,Mudslide,Downpour,0.0,1.0
1434,2010-01-21,United States,Arizona,1424,Complex,Downpour,0.0,1.0
1435,2010-01-21,United States,California,3552,Debris flow,Downpour,0.0,1.0
1439,2010-01-21,United States,California,1128,Mudslide,Downpour,0.0,1.0
1441,2010-01-22,United States,Arizona,2633,Mudslide,Downpour,0.0,1.0
1448,2010-01-24,United States,North Carolina,2937,Mudslide,Downpour,0.0,1.0
1449,2010-01-24,United States,Tennessee,4577,Mudslide,Downpour,0.0,1.0
1450,2010-01-24,United States,Tennessee,7554,Mudslide,Downpour,0.0,1.0
1452,2010-01-25,United States,Tennessee,12714,Complex,Downpour,0.0,1.0
1453,2010-01-25,United States,Pennsylvania,305704,Mudslide,Downpour,0.0,1.0
1454,2010-01-25,United States,Connecticut,1212,Mudslide,Downpour,0.0,1.0
1455,2010-01-25,United States,North Carolina,2441,Mudslide,Downpour,0.0,1.0
1456,2010-01-26,United States,Kentucky,1255,Complex,Downpour,0.0,1.0
1459,2010-01-28,Peru,Ancash,0,Complex,Downpour,0.0,1.0
1465,2010-02-03,Ecuador,Tungurahua,9501,Mudslide,Downpour,4.0,2.0
1467,2010-02-04,United States,South Carolina,13905,Rockfall,Rain,0.0,2.0
1469,2010-02-05,Mexico,México,505881,Landslide,Downpour,11.0,2.0
1470,2010-02-05,Mexico,Michoacán,78950,Mudslide,Downpour,2.0,2.0
1471,2010-02-05,Mexico,Michoacán,2817,Mudslide,Downpour,1.0,2.0
1472,2010-02-05,Mexico,Michoacán,4943,Mudslide,Downpour,3.0,2.0
1474,2010-02-05,United States,North Carolina,1150,Mudslide,Downpour,0.0,2.0
1477,2010-02-04,Mexico,México,2968,Mudslide,Downpour,11.0,2.0
1484,2010-02-06,United States,Kentucky,5245,Mudslide,Downpour,0.0,2.0
1485,2010-02-06,United States,Kentucky,2203,Landslide,Downpour,0.0,2.0
1490,2010-02-08,United States,Tennessee,4058,Mudslide,Rain,0.0,2.0
1506,2010-02-15,Haiti,Nord,134815,Mudslide,Downpour,4.0,2.0
1525,2010-02-25,United States,California,29603,Complex,Rain,0.0,2.0
1531,2010-02-27,United States,California,209924,Mudslide,Downpour,0.0,2.0
1552,2010-03-11,Dominica,Saint Paul,702,Landslide,Rain,0.0,3.0
1555,2010-03-11,United States,Pennsylvania,305704,Landslide,Downpour,0.0,3.0
1556,2010-03-11,United States,Pennsylvania,5951,Landslide,Downpour,0.0,3.0
1557,2010-03-11,United States,Wisconsin,2133,Mudslide,Downpour,0.0,3.0
1562,2010-03-12,United States,West Virginia,1260,Mudslide,Downpour,0.0,3.0
1564,2010-03-13,United States,West Virginia,6432,Mudslide,Downpour,0.0,3.0
1565,2010-03-13,United States,New Jersey,9916,Mudslide,Downpour,0.0,3.0
1566,2010-03-13,United States,West Virginia,3572,Landslide,Downpour,0.0,3.0
1567,2010-03-14,United States,Ohio,6397,Mudslide,Downpour,0.0,3.0
1568,2010-03-14,United States,Massachusetts,2717,Mudslide,Downpour,0.0,3.0
1569,2010-03-14,United States,New Jersey,2410,Mudslide,Downpour,0.0,3.0
1570,2010-03-14,United States,North Carolina,620,Landslide,Downpour,0.0,3.0
1575,2010-03-15,United States,Massachusetts,7389,Mudslide,Rain,0.0,3.0
1576,2010-03-15,United States,Massachusetts,5918,Landslide,Downpour,0.0,3.0
1578,2010-03-16,United States,Pennsylvania,2528,Mudslide,Downpour,0.0,3.0
1579,2010-03-18,United States,Tennessee,3944,Landslide,Downpour,0.0,3.0
1584,2010-03-21,United States,Ohio,1311,Landslide,Downpour,0.0,3.0
1591,2010-03-25,United States,Alabama,2264,Landslide,Downpour,0.0,3.0
1595,2010-03-26,United States,New York,1113,Landslide,Downpour,0.0,3.0
1599,2010-03-29,United States,Tennessee,3944,Mudslide,Downpour,0.0,3.0
1601,2010-03-30,United States,Connecticut,47648,Landslide,Rain,0.0,3.0
1602,2010-03-30,United States,New York,7612,Mudslide,Downpour,0.0,3.0
1603,2010-03-30,United States,New York,195976,Mudslide,Downpour,0.0,3.0
1604,2010-03-30,United States,Iowa,11051,Mudslide,Rain,0.0,3.0
1605,2010-03-30,United States,Iowa,11051,Landslide,Rain,0.0,3.0
1606,2010-03-30,United States,Maine,7794,Landslide,Downpour,0.0,3.0
1608,2010-03-31,United States,New Hampshire,1108,Landslide,Rain,0.0,3.0
1612,2010-04-01,Peru,Huanuco,0,Lahar,Downpour,12.0,4.0
1614,2010-04-02,Peru,Huanuco,6865,Landslide,Downpour,28.0,4.0
1739,2010-04-07,United States,Iowa,25663,Mudslide,Rain,0.0,4.0
1743,2010-04-12,Dominica,Saint Patrick,2608,Landslide,Downpour,0.0,4.0
1744,2010-04-12,Dominica,Saint Paul,702,Landslide,Downpour,0.0,4.0
1745,2010-04-12,Dominica,Saint Patrick,2608,Landslide,Downpour,0.0,4.0
1746,2010-04-12,Dominica,Saint Patrick,2608,Landslide,Downpour,0.0,4.0
1747,2010-04-12,Dominica,Saint Patrick,1332,Landslide,Downpour,0.0,4.0
1749,2010-04-14,Costa Rica,Alajuela,14448,Landslide,Downpour,0.0,4.0
1751,2010-04-14,Colombia,Cundinamarca,130289,Landslide,Downpour,2.0,4.0
1754,2010-04-16,Dominica,Saint Paul,702,Landslide,Downpour,0.0,4.0
1760,2010-04-18,Jamaica,Saint Thomas,2634,Landslide,Downpour,0.0,4.0
1761,2010-04-18,Jamaica,Clarendon,4514,Landslide,Downpour,0.0,4.0
1762,2010-04-18,Jamaica,Clarendon,44755,Landslide,Downpour,0.0,4.0
1763,2010-04-18,Jamaica,Portland,2757,Landslide,Downpour,0.0,4.0
1764,2010-04-18,Jamaica,Portland,14400,Landslide,Downpour,0.0,4.0
1784,2010-04-25,United States,Tennessee,2694,Landslide,Downpour,0.0,4.0
1786,2010-04-27,Costa Rica,Heredia,1355,Landslide,Downpour,0.0,4.0
1804,2010-05-02,United States,Kentucky,6845,Mudslide,Downpour,0.0,5.0
1805,2010-05-02,United States,Kentucky,1883,Landslide,Downpour,0.0,5.0
1806,2010-05-02,United States,Tennessee,2912,Landslide,Downpour,0.0,5.0
1807,2010-05-02,United States,Tennessee,4812,Landslide,Downpour,0.0,5.0
1808,2010-05-02,United States,Tennessee,7720,Landslide,Downpour,0.0,5.0
1809,2010-05-02,United States,Tennessee,31279,Landslide,Downpour,0.0,5.0
1810,2010-05-02,United States,Tennessee,34681,Landslide,Downpour,0.0,5.0
1814,2010-05-03,United States,Kentucky,777,Mudslide,Downpour,0.0,5.0
1815,2010-05-03,United States,Kentucky,365,Mudslide,Downpour,0.0,5.0
1816,2010-05-03,United States,Kentucky,2237,Mudslide,Downpour,0.0,5.0
1817,2010-05-03,United States,Kentucky,1732,Mudslide,Downpour,0.0,5.0
1818,2010-05-03,United States,Kentucky,3459,Mudslide,Downpour,0.0,5.0
1819,2010-05-03,United States,Kentucky,717,Mudslide,Downpour,0.0,5.0
1820,2010-05-03,United States,West Virginia,3191,Mudslide,Downpour,0.0,5.0
1821,2010-05-03,United States,Kentucky,717,Mudslide,Downpour,0.0,5.0
1822,2010-05-03,United States,Kentucky,4456,Mudslide,Downpour,0.0,5.0
1823,2010-05-03,United States,Kentucky,777,Mudslide,Downpour,0.0,5.0
1824,2010-05-03,United States,Kentucky,777,Rockfall,Downpour,0.0,5.0
1825,2010-05-03,United States,Kentucky,2237,Mudslide,Downpour,0.0,5.0
1826,2010-05-03,United States,Kentucky,2237,Mudslide,Downpour,0.0,5.0
1827,2010-05-03,United States,West Virginia,1090,Mudslide,Downpour,0.0,5.0
1828,2010-05-03,United States,Virginia,1414,Mudslide,Downpour,0.0,5.0
1829,2010-05-03,United States,Kentucky,2203,Mudslide,Downpour,0.0,5.0
1830,2010-05-03,United States,Kentucky,6903,Complex,Downpour,0.0,5.0
1831,2010-05-03,United States,Ohio,11129,Landslide,Downpour,0.0,5.0
1832,2010-05-03,United States,Ohio,11129,Landslide,Downpour,0.0,5.0
1833,2010-05-03,United States,Ohio,2165,Landslide,Downpour,0.0,5.0
